contest_key,date,title,location_str,city,state,state_full,prize,cbj_percentage,is_championship,is_standard,url
1302,2016-06-17,Peak City Pigfest,"Apex, NC",Apex,NC,North Carolina,10800.0,100.0,True,False,http://www.kcbs.us/event/6130/peak-city-pigfest
1303,2016-06-17,Barbourville BBQ Cookoff & Festival,"Barbourville, KY",Barbourville,KY,Kentucky,0.0,100.0,True,True,http://www.kcbs.us/event/6042/barbourville-bbq-cookoff-festival
1304,2016-06-17,Almost Heaven BBQ Bash,"Buckhannon, WV",Buckhannon,WV,West Virginia,10000.0,100.0,True,False,http://www.kcbs.us/event/5940/almost-heaven-bbq-bash
1305,2016-06-18,Smoke out in the Valley,"Buckner, MO",Buckner,MO,Missouri,5025.0,100.0,True,False,http://www.kcbs.us/event/6105/smoke-out-in-the-valley
1306,2016-06-24,* Newport Beach Barbecue Competition,"Newport, CA",Newport,CA,California,7500.0,100.0,True,True,http://www.kcbs.us/event/6250/newport-beach-barbecue-competition
1307,2016-06-24,Smokin' On The Pecos,"Artesia, NM",Artesia,NM,New Mexico,17000.0,100.0,True,False,http://www.kcbs.us/event/5950/smokin-on-the-pecos
1308,2016-06-24,Sam's Club National BBQ Tour,"Birmingham, AL",Birmingham,AL,Alabama,10000.0,,True,True,http://www.kcbs.us/event/6360/sams-club-national-bbq-tour
1309,2016-06-24,Hog Wild BBQ Festival,"Chandler, OK",Chandler,OK,Oklahoma,6600.0,100.0,True,False,http://www.kcbs.us/event/6011/hog-wild-bbq-festival
1310,2016-06-24,Assumption Fest Smokin Hot BBQ Contest,"Assumption, IL",Assumption,IL,Illinois,7000.0,,True,True,http://www.kcbs.us/event/6614/assumption-fest-smokin-hot-bbq-contest
1311,2016-06-24,Freedom Feast BBQ Cook-Off,"Willard, MO",Willard,MO,Missouri,6000.0,,True,False,http://www.kcbs.us/event/6497/freedom-feast-bbq-cook-off
1312,2016-06-24,Heritage Days BBQ Showdown,"Belvidere, IL",Belvidere,IL,Illinois,11550.0,93.0,True,False,http://www.kcbs.us/event/6028/heritage-days-bbq-showdown
1313,2016-06-24,Big BBQ Bash,"Maryville, TN",Maryville,TN,Tennessee,10000.0,100.0,True,False,http://www.kcbs.us/event/6095/big-bbq-bash
1314,2016-06-24,Ribfest (BACKYARD),"Sioux City, IA",Sioux City,IA,Iowa,1750.0,50.0,False,True,http://www.kcbs.us/event/6572/ribfest-backyard
1315,2016-06-24,Smoke on the Waterfall,"Redwoodfalls, MN",Redwoodfalls,MN,Minnesota,0.0,100.0,True,True,http://www.kcbs.us/event/6457/smoke-on-the-waterfall
1316,2016-06-24,Smoke on the Square: In memory of David Harness,"Franklin, IN",Franklin,IN,Indiana,6000.0,100.0,True,True,http://www.kcbs.us/event/6480/smoke-on-the-square-in-memory-of-david-harness
1317,2016-06-24,Covington Cork & Pork Festival,"Covington, VA",Covington,VA,Virginia,7500.0,,True,True,http://www.kcbs.us/event/6393/covington-cork-pork-festival
1318,2016-06-24,Silicon Valley Barbeque Championships,"Santa Clara, CA",Santa Clara,CA,California,20000.0,,True,False,http://www.kcbs.us/event/6131/silicon-valley-barbeque-championships
1319,2016-06-24,8th Annual Auburn Hills Barbecue Cookoff,"Auburn Hills, MI",Auburn Hills,MI,Michigan,8000.0,,True,True,http://www.kcbs.us/event/6106/8th-annual-auburn-hills-barbecue-cookoff
1320,2016-06-24,Great Lenexa BBQ Battle-Kansas State Championship,"Lenexa, KS",Lenexa,KS,Kansas,12900.0,87.0,True,False,http://www.kcbs.us/event/6104/great-lenexa-bbq-battle-kansas-state-championship
1321,2016-06-24,Leadville BBQ and Brew Festival,"Leadville, CO",Leadville,CO,Colorado,7900.0,,True,False,http://www.kcbs.us/event/5972/leadville-bbq-and-brew-festival
1322,2016-06-25,*Rotary Rock-N-Ribs (BACKYARD),"Onalaska, WI",Onalaska,WI,Wisconsin,4500.0,100.0,False,False,http://www.kcbs.us/event/6432/rotary-rock-n-ribs-backyard
1323,2016-06-25,Giant National Capital Barbecue Battle,"Washington, DC",Washington,MD,Maryland,9400.0,97.0,True,False,http://www.kcbs.us/event/6154/giant-national-capital-barbecue-battle
1324,2016-06-25,Green Mountain BBQ Championship,"Waterbury, VT",Waterbury,VT,Vermont,4095.0,,True,False,http://www.kcbs.us/event/6180/green-mountain-bbq-championship
1325,2016-06-25,Montana BBQ cook-off,"Absarokee, MT",Absarokee,MT,Montana,9675.0,100.0,True,False,http://www.kcbs.us/event/6289/montana-bbq-cook-off
1326,2016-07-01,Back to Mayberry BBQ,"Whiting , IA",Whiting,IA,Iowa,6500.0,100.0,True,True,http://www.kcbs.us/event/5987/back-to-mayberry-bbq
1327,2016-07-01,Grillin' in Grafton,"Grafton, WI",Grafton,WI,Wisconsin,5000.0,100.0,True,True,http://www.kcbs.us/event/6348/grillin-in-grafton
1328,2016-07-01,Hutchfest BBQ Cook-off,"Hutchinson, KS",Hutchinson,KS,Kansas,7500.0,99.0,True,False,http://www.kcbs.us/event/6315/hutchfest-bbq-cook-off
1329,2016-07-01,Sam's Club National BBQ Tour (Regional),"Marietta, GA",Marietta,GA,Georgia,20000.0,100.0,False,True,http://www.kcbs.us/event/6361/sams-club-national-bbq-tour-regional
1330,2016-07-01,Fire on the Mountain,"Leburn, KY",Leburn,KY,Kentucky,5000.0,,True,True,http://www.kcbs.us/event/6583/fire-on-the-mountain
1331,2016-07-02,*Hot Pursuit BBQ,"Shawnee, OK",Shawnee,OK,Oklahoma,10000.0,100.0,True,True,http://www.kcbs.us/event/6445/hot-pursuit-bbq
1332,2016-07-02,13th Annual Pork & Brew BBQ State Championship,"Rio Rancho, NM",Rio Rancho,NM,New Mexico,10000.0,100.0,True,False,http://www.kcbs.us/event/6188/13th-annual-pork-brew-bbq-state-championship
1333,2016-07-02,I love Barbecue & Music Festival,"Lake Placid, NY",Lake Placid,NY,New York,9000.0,100.0,True,False,http://www.kcbs.us/event/6057/i-love-barbecue-music-festival
1334,2016-07-07,SC Festival of Discovery,"Greenwood, SC",Greenwood,SC,South Carolina,21820.0,100.0,True,False,http://www.kcbs.us/event/5986/sc-festival-of-discovery
1335,2016-07-08,Chillin & Grillin In The Glades,"Wise, VA",Wise,VA,Virginia,7500.0,,True,True,http://www.kcbs.us/event/6196/chillin-grillin-in-the-glades
1336,2016-07-08,Gold Ribbin' BBQ Fest of Greater Green Bay-1st Heat,"Green Bay, WI",Green Bay,WI,Wisconsin,14285.0,100.0,True,False,http://www.kcbs.us/event/6213/gold-ribbin-bbq-fest-of-greater-green-bay-1st-heat
1337,2016-07-08,Wine Country Big Q Competition and Festival,"Petaluma, CA",Petaluma,CA,California,7500.0,100.0,True,False,http://www.kcbs.us/event/6242/wine-country-big-q-competition-and-festival
1338,2016-07-08,15th Annual Bordertown Bash,"Fort Smith, AR",Fort Smith,AR,Arkansas,10000.0,100.0,True,True,http://www.kcbs.us/event/6026/15th-annual-bordertown-bash
1339,2016-07-08,Ohio Veterans Barbecue Cook-Off,"Kettering, OH",Kettering,OH,Ohio,6000.0,,True,True,http://www.kcbs.us/event/6293/ohio-veterans-barbecue-cook-off
1340,2016-07-08,9th Annual Wellsville BBQ Cookoff,"Wellsville, MO",Wellsville,MO,Missouri,5475.0,100.0,True,True,http://www.kcbs.us/event/6292/9th-annual-wellsville-bbq-cookoff
1341,2016-07-08,Sam's Club National BBQ Tour,"Indianapolis, IN",Indianapolis,IN,Indiana,10000.0,100.0,False,True,http://www.kcbs.us/event/6369/sams-club-national-bbq-tour
1342,2016-07-08,Johnson County Fair BBQ Challenge,"Warrensburg, MO",Warrensburg,MO,Missouri,5000.0,,True,False,http://www.kcbs.us/event/6236/johnson-county-fair-bbq-challenge
1343,2016-07-08,Cumberland Plateau BBQ Cook-off and Cruise In,"Jamestown, TN",Jamestown,TN,Tennessee,5000.0,100.0,True,False,http://www.kcbs.us/event/6089/cumberland-plateau-bbq-cook-off-and-cruise-in
1344,2016-07-08,New Jersey State Barbecue Championship,"North Wildwood , NJ",North Wildwood,NJ,New Jersey,9200.0,100.0,True,False,http://www.kcbs.us/event/6081/new-jersey-state-barbecue-championship
1345,2016-07-09,Gold Ribbin' BBQ Fest of Greater Green Bay-2nd Heat,"Green Bay, WI",Green Bay,WI,Wisconsin,14285.0,100.0,True,False,http://www.kcbs.us/event/6200/gold-ribbin-bbq-fest-of-greater-green-bay-2nd-heat
